SYSINFNO,SYSFACNO,CALENDAR_YEAR,SPECIES_VALUE,ON_HAND_JAN1,STRAYS,SEIZED,BITE_CASES,SURRENDERED,FROM_ANOTHER,FROM_ANOTHER_NOTES,OTHER,OTHER_NOTES,RECLAIMED,ADOPTED,TRANSFERRED,TRANSFERRED_NOTES,TRANSFERRED_OUT_OF_STATE,DIED,EUTHANIZED,MISC,MISC_NOTES,ON_HAND_DEC31,CREATE_DATE,UPDATE_DATE,TRANSOLD,FROM_OUT_OF_STATE
38478,6755,2016,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
42233,6755,2017,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 23:24,1/24/18 11:58,,0
42234,6755,2017,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 23:24,1/24/18 11:58,,0
42235,6755,2017,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 23:24,1/24/18 11:58,,0
42236,6755,2017,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 23:24,1/24/18 11:58,,0
42237,6755,2017,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 23:24,1/24/18 11:58,,0
35566,6755,2015,2,38,183,0,0,0,0,,0,,11,152,17,"King Street Cats
25 Dove Street, Alexandria, VA 22314

Homeward Trails
 11116 Fairfax Station Rd, Fairfax Station, VA 22039

A Cats Friend
P.O. Box 2392, Woodbridge, VA 22195

Cat Haven
6001 Beech Tree Drive
Alexandria, VA 22310",0,1,2,0,,38,2/9/16 19:52,2/9/16 20:22,0,
31483,6755,2014,2,35,167,0,0,0,0,,0,,9,141,10,"FOHA
P.O. Box 415 Aldie, Va 20105

PWRCAR
7927 Apache Ridge Ct Manassas, Va 20109",0,4,0,0,,38,1/16/15 18:02,1/16/15 18:24,0,
27229,6755,2013,2,35,97,0,0,2,7,"Fancy Cat Rescue Team 13110 Pelfrey Ln, Fairfax, VA 22033

Prince William Co Shelter
14807 Bristow Rd, Manassas, VA 20112",0,,3,93,10,"Tails High Inc.
708 Timber Branch Drive
Alexandria, VA 22302

Homeward Trails
PO Box 100968
Arlington, VA 22210


",0,0,0,0,,35,1/11/14 22:30,1/11/14 23:01,0,
24755,6755,2012,2,37,107,0,0,0,0,,0,,1,96,6,"Fancy Cats Rescue Team
P.O. Box 182 
Herndon, VA 20172",0,1,0,5,became barn cats,35,1/23/13 22:22,1/23/13 23:25,0,
20347,6755,2011,2,19,146,0,0,0,0,,0,,2,102,12,"Fancy Cats Rescue Team
P O Box 182
Herndon, VA 20172-0182

",0,11,1,0,,37,1/18/12 1:00,1/18/12 18:04,0,
45157,6755,2018,1,0,0,0,0,0,0,"Prince William Animal Shelter
14807 Bristow Rd, Manassas, VA 20112

Fancy Cats Rescue Team
P.O. Box 182
Herndon, VA 20172

",0,,0,0,0,"Humane Society of Fairfax County
4057 Chain Bridge Rd, Fairfax, VA 22030

Fairfax County Animal Shelter
4500 West Ox Rd, Fairfax, VA 22030

King Street Cats
25 S Dove St, Alexandria, VA 22314

Community Cats Rescue Network
9401 East St, Manassas VA 20110

Cats Rule! Feline Rescue
PO Box 2096
Fairfax, VA 22031-2096
",0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
45158,6755,2018,2,36,151,0,0,9,27,,0,,12,114,45,,2,2,1,0,,47,1/13/19 19:33,1/14/19 12:35,,0
45159,6755,2018,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
45160,6755,2018,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
45161,6755,2018,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
45162,6755,2018,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
45163,6755,2018,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/13/19 19:33,1/14/19 12:35,,0
38472,6755,2016,1,0,0,0,0,0,0,"Prince William County Animal Shelter
14807 Bristow Rd, Manassas, VA 20112",0,,0,0,0,"Cat Haven
6001 Beech Tree Dr
Alexandria, VA 22310

King Street Cats
25 Dove Street
Alexandria, VA 22314

Cats Crossing Sanctuary
15671 Ashbury Church Road
Purcellville, VA 20132-2828
",0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
38473,6755,2016,2,38,131,0,0,11,4,,0,,5,118,22,,0,4,0,0,,35,2/3/17 22:28,3/7/17 11:41,,0
38474,6755,2016,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
38475,6755,2016,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
38476,6755,2016,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
38477,6755,2016,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/3/17 22:28,3/7/17 11:41,,0
42232,6755,2017,2,35,199,0,0,27,28,,0,,11,171,63,,0,8,0,0,,36,1/19/18 23:24,1/24/18 11:58,,0
32690,6756,2014,6,0,0,0,0,1,0,,0,,0,1,0,,0,0,0,0,,0,1/27/15 16:37,1/27/15 16:37,0,
42168,6756,2017,1,23,5,0,0,20,9,"Hanover Co. AC, 12471 Taylor Complex Road, Ashland VA 23005 - Caroline Co. AC, 14080 Devils Three Jump Rd, Milford, VA 22514 - Henrico Co. AC PO Box 90775, Henrico VA 23273 - Regional Animal Shelter, PO Box 215, King William VA 23086, Sussex AC, 14493 Robinson Rd, Stony Creek, VA 23882 - Surry Co. AC, 265 Old Burrough Rd, Elberon, VA 23846  ",0,,0,36,2,"Homes Fur Hounds, 604 Pollard Park, Williamsburg VA 23185 - Blue Ridge Boxer Rescue, PO Box 1855, Hickory NC  28603",0,0,3,0,,16,1/19/18 13:24,1/24/18 12:12,,0
30092,6756,2014,2,0,0,0,0,9,0,,0,,0,7,0,,0,0,0,0,,2,1/4/15 12:23,1/4/15 12:39,0,
30095,6756,2014,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/15 12:39,1/27/15 16:37,0,
35157,6756,2015,6,0,,,,,,,,,,,,,,,,,,,2/5/16 20:05,2/5/16 20:05,,
35158,6756,2015,1,47,3,0,0,33,49,"Caroline Co Pound 14080 Devils Three Jump Rd Milford 22514, Lee Fosters Rescue, Blackwater 24221,SPCA Pitts Co PO Box 936 Chatham 24531, Saving Furry Friends        PO Box 741 Glade Spg 24340, No VA Sheltie Rescue 977 Seminole Trl-PMB314 Charlottesvl 22901, Henrico Co  Shelter PO Box 90775 Henrico 23273, Marion Co SC Shelter PO Box 183 Marion SC 29571, Wise Co Shelter PO Box 570 Wise 24293, Homes Fur Hounds 604 Pollard Park  Wllmsburg 23185, Halifax Dog Squad PO BOX 418 So Boston 24592

",2,2 puppies born 24 hours after taking in pregnant dog,0,103,0,,0,0,2,0,,29,2/5/16 20:05,2/5/16 20:39,0,
35159,6756,2015,3,0,,,,,,,,,,,,,,,,,,,2/5/16 20:05,2/5/16 20:05,,
35160,6756,2015,2,2,0,0,0,12,0,,0,,0,14,0,,0,0,0,0,,0,2/5/16 20:05,2/5/16 20:40,0,
19771,6756,2011,1,42,3,0,0,70,50,"Hanover AC, 12471 Taylor Complex Ashland VA 23005 -
Caroline AC 14080 Devils Three Jump Rd Milford VA 22514 - Saving Furry Friends, PO Box 741 Glade Spring VA 24340 - Regional Animal Shelter 20201 King Wm Rd King Wm VA 23086 - Essex  AC PO Box 266 Tappahannock VA 22560 - Amelia AC PO Box A Amelia VA 23002 - Henrico AC 420 Dabbs House Rd Richmond VA 23273 - Prince George AC 3100 Union Branch Rd
 Petersburg VA  23805 - 
 Sussex AC
 PO Box 1387
 Sussex VA 23884
 
",7,Born in system,0,127,0,,0,2,2,0,,41,1/3/12 19:55,2/2/12 16:34,0,
19772,6756,2011,2,5,11,0,0,30,0,,0,,0,38,0,,0,0,0,0,,8,1/3/12 19:55,2/2/12 16:34,0,
27733,6756,2013,1,38,12,0,0,26,86,"Dinwiddie AC 1093 Wheelers Pond Dinwiddie VA23841, Caroline AC 14080 Devils 3 Jump Rd Milford VA 22514, Saving Furry Friends PO Bx 741 Glade Spg VA 24340, Regional AC 20201 King Wm Rd King Wm VA 23086, Powhatan AC PO Bx 133 Powhatan VA 23139, Hanover AC 12471 Taylor Cmplx Rd Ashland VA 23005, Henrico AC 10421 Woodman Rd Glen Allen VA 23060, PAWS N. Tazewell VA 24630, In His Hands PO Bx 67 Hiltons VA 24258",7,Born in system,0,124,0,,0,4,1,0,,40,1/18/14 17:28,1/20/14 12:22,0,
27734,6756,2013,2,0,8,0,0,8,0,,0,,0,15,1,Hanover Humane PO Box 1011 Ashland VA 23005,0,0,0,0,,0,1/18/14 17:28,1/20/14 12:27,0,
23976,6756,2012,1,41,11,0,0,34,69,"Lee Fosters Rescue Blackwater VA 24221, Essex Co. AC PO Box 266 Tappahannock VA 22560, Hanover Co. AC 12471 taylor Complex Road Ashland VA 23005, Saving Furry Friends PO Box 741 Glade Spring VA 24340, Sussex Co. AC PO Box 1397 Sussex VA 23884, Charles City AC 12001 Munford Road Charles City VA 23030, Caroline Co AC 14080 Devils Jump Road Milford VA 22514",0,,0,114,1,"Second Chance Animal Rescue, 1654 Truslow Road, Fredericksburg VA 22406",0,0,2,0,,38,1/15/13 12:35,1/15/13 12:39,0,
23977,6756,2012,2,8,0,0,0,9,0,,0,,0,16,1,"Hanover Humane Society, 12190 Washington Hwy, Ashland VA 23005",0,0,0,0,,0,1/15/13 12:35,1/15/13 12:40,0,
39207,6756,2016,1,29,7,0,0,29,20,"Caroline County Animal Shelter 14080 Devils Three Jump Road, Milford VA 22514
Henrico County Animal Shelter PO Box 90775, Henrico VA 23273 
Hanover County Animal Control 12471 Taylor Complex Road, Ashland VA 23005
Cumberland County Animal Control 11 Range Road, Cumberland VA 23040",0,,0,60,1,"Homes Fur Hounds 604 Pollard Park, Williamsburg VA 23185",0,1,0,0,,23,2/17/17 12:41,3/7/17 16:13,,0
39208,6756,2016,2,0,0,0,0,2,0,,0,,0,2,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
39209,6756,2016,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
39210,6756,2016,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
39211,6756,2016,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
39212,6756,2016,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
39213,6756,2016,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,2/17/17 12:41,3/7/17 16:13,,0
44541,6756,2018,1,16,2,0,0,10,0,,0,,0,6,4,"Homes Fur Hounds, 604 Pollard Park, Williamsburg VA 23185",0,0,0,0,,18,1/4/19 16:25,1/14/19 18:55,,0
44542,6756,2018,2,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
44543,6756,2018,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
44544,6756,2018,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
44545,6756,2018,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
44546,6756,2018,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
44547,6756,2018,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/4/19 16:25,1/14/19 18:55,,0
42169,6756,2017,2,0,0,0,0,2,0,,0,,0,2,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
42170,6756,2017,3,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
42171,6756,2017,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
42172,6756,2017,5,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
42173,6756,2017,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
42174,6756,2017,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/19/18 13:24,1/24/18 12:12,,0
30091,6756,2014,1,40,7,0,0,55,35,"Caroline Co AC 14080 Devils 3 Jump Rd Milford VA 22514, Hanover Co AC 12471 Taylor Complex
Ashland VA 23005, Dinwiddie Co AC 1093. Wheelers Pond Dinwiddie VA 23841, Lee Fosters Rescue
Blackwater VA 24221, Saving Furry Friends PO Box 741 Glade Spg VA 24340, Powhatan Co AC 
PO Box 133 Powhatan VA 23139, Madison Co AC 4590 Shelby Rd Madison VA 22727  
",6,Born in System,0,93,1,"Homes Fur Hounds, 604 Pollard Park, Williamsburg VA 23185",0,2,0,0,,47,1/4/15 12:23,1/4/15 12:38,0,
46690,6757,2018,1,20,10,0,0,50,158,"Montgomery Co. Animal Care & Adoption Center 480 Cinnabar Road Christiansburg, VA 24073
Smyth Co. Animal Shelter 287 Fox Valley Road Marion, VA 24352
Pulaski County Animal Shelter 80 Dublin Park Rd. Dublin, VA 24084
Galax Carroll Grayson Animal Shelter 200 Fair Street Galax, VA 243333",0,,0,23,110,"Roanoke Valley SPCA 1349 Baldwin Ave. NE Roanoke, VA 24012
Augusta SPCA 33 Archery Lane Staunton, VA 24401
Richmond SPCA 2519 Hermitage Rd. Richmond, VA 23220
SPCA of Northern VA Po Box 100220 Arlington, VA 22210
Paws for Seniors Po Box 738 Bealeton, VA 22712
City of Fairfax Animal Control 3730 Old Lee Hwy. Fairfax,VA 22030
Ragged Mountain Dogs 1415 Nethers Rd, Sperryville, VA 22740",90,0,0,0,,15,1/30/19 18:21,2/4/19 12:20,,0
40676,6757,2016,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,3/2/17 16:06,3/23/17 11:40,,0
46692,6757,2018,3,0,0,0,0,2,33,,0,,0,26,0,,3,0,0,0,,6,1/30/19 18:21,2/4/19 12:20,,0
46693,6757,2018,4,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/30/19 18:21,2/4/19 12:20,,0
46694,6757,2018,5,8,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,8,1/30/19 18:21,2/4/19 12:20,,0
46695,6757,2018,6,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/30/19 18:21,2/4/19 12:20,,0
46696,6757,2018,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/30/19 18:21,2/4/19 12:20,,0
32057,6757,2014,1,21,6,0,0,152,211,"Wythe Co Dog Shelter Wytheville, VA
Smyth Co Animal Shelter Marion,VA 
Tazewell County Animal Shelter, Tazewell, VA
Bland Co Animal Control, Bland VA",17,"Stokes Co Animal Control, Germantown, NC Mayberry 4 Paws NC",0,28,107,"AGPR ? Richmond, VA

Angels of Assisi ? Richmond, VA

ARC BC Rescue ? Richmond, VA

BROOD ? Staunton, VA

Animal Connections ? Charlottesville, VA

OBG ? Richmond, VA 

VBSPCA ? Virginia Beach, VA
New Spirit Aussie Rescue, Sanctuary Rescue, Richmond VA Twin County HS, Galax, VA Lost Dog, Richmond, VA Tazewell ARC, Tazewell, VA Pet Haven, Tazewell, VA 
 
",254,0,0,0,,18,1/22/15 16:07,1/23/15 18:23,0,
32058,6757,2014,2,25,0,0,0,12,38,"Smyth Co Animal Shelter 287 Fox Valley Rd, Marion, Virginia 24354

Wytheville Cat Shelter, Wytheville, VA",0,,0,58,13,"Lost Dog & Cat Foundation PO Box 50037, Arlington, Virginia 22205",0,0,0,0,,4,1/22/15 16:07,1/23/15 18:25,0,
32059,6757,2014,5,7,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,7,1/22/15 16:07,1/22/15 16:15,0,
35191,6757,2015,1,18,13,0,0,143,395,"Wythe Co Dog Shelter 600 Atkins Mill Rd. Wytheville, VA Tazewell Animal Shelter 3015 Lynn Hollow Rd Tazewell, VA Smyth Co Animal Shelter 287 Fox Valley Rd Chilhowie, VA Bland Co Animal Control 612 Main St Bland, VA Regional Center for Animal Care & Control 1510 Baldwin Ave Roanoke, VA",1,Mayberry 4 Paws 213 Farmbrook Rd Mt. Airy NC,1,41,377,"Augusta SPCA 33 Archery Ln Stanton, VA Roanoke SPCA 1340 Baldwin AV Roanoke, VA BROOD 3445 Seminole Trail Charlottesville, VA Houlagans Rest 10138 C Hull Street Road
 Midlothian, Virginia Richmond SPCA 2519 Hermatige Rd, Richmond, Va Mutt Love MUTT LOVE RESCUE
 PO Box 1005 
 Fairfax, VA Wythe Co Humane Society PO Box 362 Wytheville, VA Lost Dog & Cat Rescue Foundation PO Box 50037 Arlington, VA",115,15,1,0,,20,2/7/16 12:35,2/7/16 13:40,0,
35192,6757,2015,2,4,0,0,0,0,48,"Tazewell Animal Shelter 3015 Lynn Hollow Rd Tazewell, VA Wytheville Cat Shelter 600 Atkins Mill Rd Wytheville, VA",0,,0,4,46,"Wythe Co Humane Society PO Box 362 Wytheville, VA Saving Grace Animal Rescue PO Box 1676 Marion, VA Lost Dog & Cat Rescue Foundation PO Box 50037 Arlington, VA",0,0,0,0,,2,2/7/16 12:35,2/7/16 13:39,0,
35193,6757,2015,5,7,0,0,0,1,0,,0,,0,0,0,,0,0,0,0,,8,2/7/16 12:35,2/7/16 12:37,0,
35194,6757,2015,3,0,0,0,0,4,0,,0,,0,4,0,,0,0,0,0,,0,2/7/16 12:38,2/7/16 12:38,0,
23940,6757,2012,1,14,1,0,0,145,104,"Wythe  County Dog Shelter 600 Atkins Mill Rd. Wytheville, VA 24382

Tazewell Dog Shelter
108 E. Main St. Tazewell, VA 24651",4,Pregnant hound taken from Wythe Co. Dog Shelter gave birth to 4 puppies,0,39,20,"WBAWL PO Box 1086 Wytheville, VA 24382
BROOD Box 248 CharlottesvilleVA22911
The Chance Foundation 10739 Bristersburg Rd. Catlett, VA 20119
VA German Shepherd Rescue PO Box 126 Sterling, VA 20167
Blue Ridge Border Collie Rescue 1950 Kirby Road, McLean, VA 22101
Lab RescueP.O. Box 1814
Annandale, VA 22003
VA Beach SPCA
3040 Holland Rd. Virginia Beach, VA 24353
Oldies But Goodies POBox 361,  Newington VA  22122  
Laws For Paws
419 W. Baumgarderner Ave.
Rural Retreat, VA 24368",187,3,0,0,,19,1/14/13 16:45,1/15/13 15:35,0,
23941,6757,2012,2,4,9,0,0,0,0,,0,,0,2,0,,0,0,0,0,,11,1/14/13 16:45,1/15/13 15:00,0,
23942,6757,2012,5,10,0,0,0,0,0,,0,,0,2,0,,0,0,0,0,,8,1/14/13 16:45,1/15/13 14:59,0,
27735,6757,2013,1,19,3,0,0,125,235,"Wythe Co Animal Control 600 Atkins Mill Rd Wytheville, VA 24382
Tazewell County Animal Shelter 3015 Lynn Hollow Road
North Tazewell, Virginia 24630
Laws For Paws 419 W Baumgardner Ave
Rural Retreat, Virginia 24368
Tazewell ARC Cedar Bluff, VA 24609",0,,0,66,91,"Second Chance Dog Rescue 1654 Truslow Rd Fredericksburg, VA 
Warm Fuzzies Animal Rescue 13320 Occoquan Rd Woodbridge, VA 
Lab Rescue PO Box 1814 Annandale, VA  
BROOD 3445 Seminole Trail,
Charlottesville, VA
VA German Shepherd Rescue P.O. Box 126, Sterling, VA
Homeward Trails PO Box 100968, Arlington, VA
Twin County Humane Society P.O. Box 125
Hillsville, VA
Blue Ridge Border Collie Rescue 1950 Kirby Rd McLean, VA 
AGPA Inc Richmond, VA
The Pet Haven Rescue 
Falls Mills, VA",194,10,0,0,,21,1/18/14 17:30,1/19/14 19:06,0,
27736,6757,2013,2,11,0,0,0,39,55,"Wytheville Cat Shelter 600 Atkins Mill Rd Wytheville, VA 24382",0,,0,20,15,"The Pet Haven Rescue Center PO Box 24 Falls Mills, VA 24613",41,4,0,0,,25,1/18/14 17:30,1/18/14 17:42,0,
27737,6757,2013,5,8,0,0,0,0,0,,0,,0,1,0,,0,0,0,0,,7,1/18/14 17:30,1/18/14 17:42,0,
20429,6757,2011,1,13,0,0,0,21,0,,0,,0,20,0,,0,0,0,0,,14,1/18/12 13:12,1/18/12 13:22,0,
20430,6757,2011,2,3,0,0,0,8,0,,0,,0,6,0,,0,1,0,0,,4,1/18/12 13:12,1/18/12 13:19,0,
20431,6757,2011,5,12,1,0,0,0,0,,0,,0,0,0,,0,3,0,0,,10,1/18/12 13:12,1/18/12 13:20,0,
43581,6757,2017,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/30/18 20:05,2/1/18 11:41,,0
